Description,Enhanced ICD-9-CM,ICD-10  
Cerebrovascular disease ,362.34,G45.x
Cerebrovascular disease , 431.x,G46.x
Cerebrovascular disease , 432.x,H34.0
Cerebrovascular disease , 433.x,I60.x
Cerebrovascular disease , 434.x,I61.x
Cerebrovascular disease , 435.x,I62.x
Cerebrovascular disease , 436.x,I63.x
Cerebrovascular disease , 437.x,I64.x
Cerebrovascular disease ,438.x ,I65.x
Cerebrovascular disease ,,I66.x
Cerebrovascular disease ,,I67.x
Cerebrovascular disease ,,I68.x
Cerebrovascular disease ,,I69.x